TierType,TierName,Label,Start,Mid,End,Duration
IntervalTier,words,,0,578,1157,1157
IntervalTier,words,Dog,1157,1432,1707,550
IntervalTier,words,,1707,2318,2930,1223
IntervalTier,words,Gorilla,2930,3337,3745,815
IntervalTier,words,,3745,5111,6477,2732
IntervalTier,words,Apple,6477,6996,7515,1038
IntervalTier,words,,7515,8010,8506,991
IntervalTier,words,Elephant,8506,8897,9289,783
IntervalTier,words,,9289,10767,12245,2956
IntervalTier,words,Table,12245,12668,13092,847
IntervalTier,words,,13092,14077,15062,1970
IntervalTier,words,Eating,15062,15461,15860,798
IntervalTier,words,,15860,16403,16947,1087
IntervalTier,words,Gorilla,16947,17266,17586,639
IntervalTier,words,,17586,19561,21536,3950
IntervalTier,words,Apple,21536,21993,22450,914
IntervalTier,words,,22450,24669,26889,4439
IntervalTier,words,Elephant,26889,27360,27832,943
IntervalTier,words,,27832,29054,30277,2445
IntervalTier,words,Toss,30277,30620,30964,687
IntervalTier,words,,30964,31906,32849,1885
IntervalTier,words,Snake,32849,33237,33625,776
IntervalTier,words,,33625,35790,37956,4331
IntervalTier,words,,37956,38091,38227,271
IntervalTier,words,,38227,39673,41119,2892
IntervalTier,words,Eating,41119,41462,41806,687
IntervalTier,words,,41806,42976,44147,2341
IntervalTier,words,Girl,44147,44498,44850,703
IntervalTier,words,,44850,47538,50226,5376
IntervalTier,words,Sofa,50226,50721,51216,990
IntervalTier,words,,51216,52312,53409,2193
IntervalTier,words,Artificial,53409,54024,54639,1230
IntervalTier,words,,54639,55981,57323,2684
IntervalTier,words,Lover,57323,57762,58202,879
IntervalTier,words,,58202,59673,61144,2942
IntervalTier,words,Rat,61144,61503,61863,719
IntervalTier,words,,61863,64379,66896,5033
IntervalTier,words,Tennis,66896,67199,67503,607
IntervalTier,words,,67503,68685,69867,2364
IntervalTier,words,Soccer,69867,70322,70778,911
IntervalTier,words,,70778,72511,74245,3467
IntervalTier,words,Reading,74245,74692,75139,894
IntervalTier,words,,75139,76018,76897,1758
IntervalTier,words,Girl,76897,77192,77488,591
IntervalTier,words,,77488,78633,79779,2291
IntervalTier,words,Likes,79779,80114,80450,671
IntervalTier,words,,80450,83085,85720,5270
IntervalTier,words,Soccer,85720,86191,86662,942
IntervalTier,words,,86662,87948,89235,2573
IntervalTier,words,Rat,89235,89594,89954,719
IntervalTier,words,,89954,92259,94565,4611
IntervalTier,words,Table,94565,94996,95428,863
IntervalTier,words,,95428,98208,100989,5561
IntervalTier,words,Efficient,100989,101516,102043,1054
IntervalTier,words,,102043,103960,105878,3835
IntervalTier,words,Tennis,105878,106237,106597,719
IntervalTier,words,,106597,108258,109920,3323
IntervalTier,words,Small,109920,110407,110895,975
IntervalTier,words,,110895,112853,114811,3916
IntervalTier,words,Looks,114811,115194,115578,767
IntervalTier,words,,115578,119291,123005,7427
IntervalTier,words,Spider,123005,123484,123963,958
IntervalTier,words,,123963,125439,126916,2953
IntervalTier,words,Rate,126916,127251,127587,671
IntervalTier,words,,127587,129720,131853,4266
IntervalTier,words,Edible,131853,132316,132779,926
IntervalTier,words,,132779,133905,135032,2253
IntervalTier,words,Eating,135032,135383,135735,703
IntervalTier,words,,135735,138131,140528,4793
IntervalTier,words,Guys,140528,140871,141215,687
IntervalTier,words,,141215,144040,146866,5651
IntervalTier,words,Snowball,146866,147377,147889,1023
IntervalTier,words,,147889,150540,153191,5302
IntervalTier,words,Liquorice,153191,153741,154291,1100
IntervalTier,words,,154291,155904,157517,3226
IntervalTier,words,Earth,157517,157731,157946,429
IntervalTier,words,,157946,159195,160445,2499
IntervalTier,words,Happy,160445,160837,161229,784
IntervalTier,words,,161229,165978,170728,9499
IntervalTier,words,Yes,170728,171017,171307,579
IntervalTier,words,,171307,173861,176416,5109
IntervalTier,words,Snow,176416,176882,177349,933
IntervalTier,words,,177349,178727,180105,2756
