TierType,TierName,Label,Start,Mid,End,Duration
IntervalTier,words,,0,2032,4064,4064
IntervalTier,words,cheese,4064,4497,4930,866
IntervalTier,words,,4930,6013,7097,2167
IntervalTier,words,egg,7097,7568,8039,942
IntervalTier,words,,8039,8764,9489,1450
IntervalTier,words,goat,9489,9781,10073,584
IntervalTier,words,,10073,10855,11637,1564
IntervalTier,words,tackle,11637,12079,12522,885
IntervalTier,words,,12522,13030,13539,1017
IntervalTier,words,everyone,13539,14019,14500,961
IntervalTier,words,,14500,15338,16177,1677
IntervalTier,words,event,16177,16516,16855,678
IntervalTier,words,,16855,17646,18438,1583
IntervalTier,words,timer,18438,18843,19248,810
IntervalTier,words,,19248,19794,20340,1092
IntervalTier,words,rabbit,20340,20754,21169,829
IntervalTier,words,,21169,21819,22469,1300
IntervalTier,words,teach,22469,22940,23411,942
IntervalTier,words,,23411,25172,26934,3523
IntervalTier,words,hands,26934,27423,27913,979
IntervalTier,words,,27913,28756,29599,1686
IntervalTier,words,snake,29599,30042,30485,886
IntervalTier,words,,30485,31295,32105,1620
IntervalTier,words,eye,32105,32463,32821,716
IntervalTier,words,,32821,33989,35157,2336
IntervalTier,words,evolve,35157,35618,36080,923
IntervalTier,words,,36080,36899,37719,1639
IntervalTier,words,earth,37719,38029,38340,621
IntervalTier,words,,38340,39112,39885,1545
IntervalTier,words,happy,39885,40356,40827,942
IntervalTier,words,,40827,41147,41468,641
IntervalTier,words,yes,41468,42004,42541,1073
IntervalTier,words,,42541,44123,45706,3165
IntervalTier,words,sorry,45706,46290,46874,1168
IntervalTier,words,,46874,47441,48009,1135
IntervalTier,words,yolk,48009,48404,48800,791
IntervalTier,words,,48800,49214,49629,829
IntervalTier,words,kangaroo,49629,50166,50703,1074
IntervalTier,words,,50703,51108,51513,810
IntervalTier,words,octopus,51513,52163,52813,1300
IntervalTier,words,,52813,53227,53642,829
IntervalTier,words,seedweed,53642,54254,54866,1224
IntervalTier,words,,54866,55233,55601,735
IntervalTier,words,dog,55601,56100,56599,998
IntervalTier,words,,56599,57296,57993,1394
IntervalTier,words,grass,57993,58558,59124,1131
IntervalTier,words,,59124,60122,61121,1997
IntervalTier,words,silver,61121,61620,62119,998
IntervalTier,words,,62119,62898,63678,1559
IntervalTier,words,grace,63678,64120,64563,885
IntervalTier,words,,64563,65674,66786,2223
IntervalTier,words,experiment,66786,67398,68010,1224
IntervalTier,words,,68010,69008,70007,1997
IntervalTier,words,test,70007,70440,70874,867
IntervalTier,words,,70874,73087,75301,4427
IntervalTier,words,timer,75301,75922,76544,1243
IntervalTier,words,,76544,77326,78108,1564
IntervalTier,words,rapid,78108,78569,79031,923
IntervalTier,words,,79031,79982,80934,1903
IntervalTier,words,dizzy,80934,81471,82008,1074
IntervalTier,words,,82008,87220,92432,10424
IntervalTier,words,yes,92432,92912,93393,961
IntervalTier,words,,93393,94532,95672,2279
